date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-05-05;CAP_SON_MAI_00001;207.317;12.46;5;0.025;16.25
2023-05-05;CAP_SON_MAI_00001;326.167;6.86;-;0.025;16.25
2023-05-05;CAP_SON_MAI_00010;202.35;10.76;46;0.025;16.25
2023-05-08;CAP_SON_MAI_00004;260.017;47.33;29;0.0;17.0
2023-05-08;CAP_SON_MAI_00010;152.817;10.72;46;0.0;17.0
2023-05-08;CAP_SON_MAI_00001;507.4;10.22;-;0.0;17.0
2023-05-08;CAP_SON_MAI_00010;139.333;8.07;76;0.0;17.0
2023-05-08;CAP_SON_MAI_00010;142.9;3.46;76;0.0;17.0
2023-05-08;CAP_SON_MAI_00010;0.583;0.0;-;0.0;17.0
2023-05-08;CAP_SON_MAI_00010;195.8;12.24;-;0.0;17.0
2023-05-09;CAP_SON_MAI_00004;152.883;18.3;-;0.075;17.75
2023-05-09;CAP_SON_MAI_00004;3.533;0.19;-;0.075;17.75
2023-05-09;CAP_SON_MAI_00004;190.383;11.57;59;0.075;17.75
2023-05-09;CAP_SON_MAI_00010;288.233;9.17;46;0.075;17.75
2023-05-09;CAP_SON_MAI_00004;308.567;56.69;144;0.075;17.75
